Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
1995,VT,Vermont,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),No,65+,Age Group,47,23.3,16.6,30.0,1736,%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,50,AGE09,CAT3,_RFPAP3Y,RESP054,"(43.625381239, -72.517640791)"
2010,ID,Idaho,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,"Yes, pregnancy-related",Some post-H.S.,Education Attained,22,1.3,0.7,1.9,353,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,16,EDUCA3,CAT5,DIABETE2,RESP051,"(43.682630005, -114.363730042)"
2005,WV,West Virginia,Fruits and Vegetables,Five Servings per Day,Adults who have consumed fruits and vegetables five or more times per day (variable calculated from one or more BRFSS questions),Consume 5 or more times per day,"Less than $15,000",Household Income,93,15.2,11.9,18.5,2139,%,Crude Prevalence,,,BRFSS,CLASS06,Topic25,54,INCOME1,CAT6,_FV5SRV,RESP075,"(38.665510202, -80.712640135)"
2008,HI,Hawaii,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,35-44,Age Group,7,1.4,0.2,2.6,520,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,15,AGE03,CAT3,CVDINFR4,RESP046,"(21.304850435, -157.857749403)"
2009,SC,South Carolina,Demographics,Employment,What is your employment status?,Retired,Less than H.S.,Education Attained,469,22.0,18.9,25.1,1652,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,45,EDUCA1,CAT5,EMPLOY,RESP031,"(33.998821303, -81.045371207)"
2003,WI,Wisconsin,Demographics,Employment,What is your employment status?,No work< yr,College graduate,Education Attained,13,1.2,0.5,1.9,1735,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,55,EDUCA4,CAT5,EMPLOY,RESP027,"(44.393191174, -89.816370742)"
2005,NJ,New Jersey,Demographics,Marital Status,What is your marital status?,Partnered,55-64,Age Group,29,1.1,0.6,1.6,1292,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,34,AGE05,CAT3,MARITAL,RESP038,"(40.130570048, -74.273691288)"
2005,PA,Pennsylvania,Demographics,Age,What is your age?,35-44 years,Male,Gender,899,19.4,17.8,21.0,1143,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,42,SEX1,CAT2,AGE,RESP012,"(40.793730152, -77.860700294)"
2005,AL,Alabama,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,No,"$35,000-$49,999",Household Income,365,87.3,83.8,90.8,375,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,1,INCOME4,CAT6,DIABETE2,RESP054,"(32.840571122, -86.631860762)"
2000,WY,Wyoming,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,287,11.8,10.4,13.2,389,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,56,BO1,CAT1,_LTASTHM,RESP046,"(43.235541343, -108.109830353)"
2004,AL,Alabama,Demographics,Income,What is your annual household income?,"Less than $15,000",College graduate,Education Attained,26,3.6,1.9,5.3,1761,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,1,EDUCA4,CAT5,INCOME,RESP016,"(32.840571122, -86.631860762)"
2008,CA,California,Demographics,Marital Status,What is your marital status?,Divorced,"Black, non-Hispanic",Race/Ethnicity,101,18.8,14.5,23.0,1242,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,6,RACE2,CAT4,MARITAL,RESP034,"(37.638640123, -120.999999538)"
2006,ND,North Dakota,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Never smoked,"$25,000-$34,999",Household Income,322,55.1,49.4,60.8,734,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,38,INCOME3,CAT6,_SMOKER3,RESP071,"(47.475319779, -100.118421049)"
2008,FL,Florida,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,"Black, non-Hispanic",Race/Ethnicity,47,2.5,1.3,3.8,629,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,12,RACE2,CAT4,CVDSTRK3,RESP046,"(28.932040377, -81.928960539)"
2002,IL,Illinois,Immunization,Flu Shot,Adults aged 65+ who have had a flu shot within the past year (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,95,41.8,34.6,49.0,666,%,Crude Prevalence,,,BRFSS,CLASS11,Topic26,17,INCOME2,CAT6,_FLUSHOT,RESP054,"(40.485010283, -88.997710178)"
2000,IL,Illinois,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,"Black, non-Hispanic",Race/Ethnicity,27,14.0,8.2,19.8,412,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,17,RACE2,CAT4,_LTASTHM,RESP046,"(40.485010283, -88.997710178)"
1996,ND,North Dakota,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),H.S. or G.E.D.,Education Attained,209,41.8,37.1,46.5,1370,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,38,EDUCA2,CAT5,_BMI2CAT,RESP040,"(47.475319779, -100.118421049)"
2010,AL,Alabama,Prostate Cancer,PSA Test,Men aged 40+ who have had a PSA test within the past two years (variable calculated from one or more BRFSS questions),No,H.S. or G.E.D.,Education Attained,228,48.8,43.2,54.5,2282,%,Crude Prevalence,,,BRFSS,CLASS16,Topic47,1,EDUCA2,CAT5,_RFPSA2Y,RESP054,"(32.840571122, -86.631860762)"
2007,CO,Colorado,Demographics,Education,What is the highest grade or year of school you completed?,H.S. or G.E.D.,18-24,Age Group,147,35.4,30.3,40.5,1317,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,8,AGE01,CAT3,EDUCA,RESP022,"(38.843840757, -106.133610921)"
1995,WY,Wyoming,Demographics,Employment,What is your employment status?,Student,35-44,Age Group,12,1.4,0.6,2.2,1357,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,56,AGE03,CAT3,EMPLOY,RESP030,"(43.235541343, -108.109830353)"
2000,MT,Montana,Demographics,Marital Status,What is your marital status?,Separated,Overall,Overall,48,1.3,0.8,1.8,786,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,30,BO1,CAT1,MARITAL,RESP036,"(47.066528972, -109.424420645)"
1996,NC,North Carolina,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,"$15,000-$24,999",Household Income,23,3.6,2.1,5.1,985,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,37,INCOME2,CAT6,_CHLDCNT,RESP092,"(35.466220975, -79.159250463)"
1995,DE,Delaware,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Male,Gender,47,6.2,4.4,8.0,1111,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,10,SEX1,CAT2,_CHLDCNT,RESP092,"(39.008830667, -75.577741168)"
2001,SC,South Carolina,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Less than H.S.,Education Attained,61,14.9,10.5,19.3,598,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,45,EDUCA1,CAT5,_LTASTHM,RESP046,"(33.998821303, -81.045371207)"
2004,VT,Vermont,Demographics,Education,What is the highest grade or year of school you completed?,College+,"White, non-Hispanic",Race/Ethnicity,2551,38.0,36.6,39.4,1475,%,Crude Prevalence,,,BRFSS,CLASS05,Topic21,50,RACE1,CAT4,EDUCA,RESP024,"(43.625381239, -72.517640791)"
2005,DE,Delaware,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,Male,Gender,136,11.3,8.7,13.9,211,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,10,SEX1,CAT2,_HCVU65,RESP054,"(39.008830667, -75.577741168)"
2007,AL,Alabama,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,45-54,Age Group,66,4.2,3.0,5.4,2260,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,1,AGE04,CAT3,CVDINFR4,RESP046,"(32.840571122, -86.631860762)"
2010,OH,Ohio,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Three children,Hispanic,Race/Ethnicity,11,11.0,2.9,19.2,1387,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,39,RACE3,CAT4,_CHLDCNT,RESP092,"(40.060210141, -82.404260056)"
1996,AK,Alaska,Demographics,Sex,Gender of respondent,Male,Less than H.S.,Education Attained,72,,,,1347,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic51,2,EDUCA1,CAT5,SEX,RESP001,"(64.845079957001, -147.722059036)"
2005,ME,Maine,Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,College graduate,Education Attained,24,1.4,0.8,2.0,2327,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,23,EDUCA4,CAT5,CVDSTRK3,RESP046,"(45.254228894001, -68.985031336)"
1996,TX,Texas,Physical Activity,Physical Activity,Adults with 30+ minutes of any physical activity five or more days per week (variable calculated from one or more BRFSS questions),Yes,25-34,Age Group,87,23.1,18.5,27.7,353,%,Crude Prevalence,,,BRFSS,CLASS15,Topic44,48,AGE02,CAT3,_RFREGUL,RESP046,"(31.827240407, -99.426770206)"
2001,NH,New Hampshire,Demographics,Marital Status,What is your marital status?,Widowed,Overall,Overall,343,5.8,5.1,6.5,1237,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,33,BO1,CAT1,MARITAL,RESP035,"(43.655950113, -71.50036092)"
1995,CT,Connecticut,Demographics,Employment,What is your employment status?,Self emplyd,"White, non-Hispanic",Race/Ethnicity,135,8.2,6.7,9.7,1383,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,9,RACE1,CAT4,EMPLOY,RESP026,"(41.56266102, -72.649840952)"
2004,MS,Mississippi,Women's Health,Mammogram,Women aged 50+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),Yes,Hispanic,Race/Ethnicity,20,,,,1950,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS18,Topic37,28,RACE3,CAT4,_MAM502Y,RESP046,"(32.745510099, -89.538030825)"
2000,NV,Nevada,Tobacco Use,Smoker Status,Four Level Smoking Status (variable calculated from one or more BRFSS questions),Smoke some days,H.S. or G.E.D.,Education Attained,47,7.8,5.1,10.5,577,%,Crude Prevalence,,,BRFSS,CLASS17,Topic55,32,EDUCA2,CAT5,_SMOKER2,RESP069,"(39.49324039, -117.071840564)"
2004,ID,Idaho,Demographics,Sex,Gender of respondent,Female,65+,Age Group,706,55.8,52.2,59.4,1847,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,16,AGE09,CAT3,SEX,RESP002,"(43.682630005, -114.363730042)"
1997,SC,South Carolina,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),Some post-H.S.,Education Attained,170,35.4,30.7,40.1,1610,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,45,EDUCA3,CAT5,_BMI2CAT,RESP040,"(33.998821303, -81.045371207)"
2010,FL,Florida,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Some post-H.S.,Education Attained,3156,87.8,85.9,89.7,461,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,12,EDUCA3,CAT5,_ALTETH2,RESP054,"(28.932040377, -81.928960539)"
2003,WI,Wisconsin,Demographics,Sex,Gender of respondent,Male,Some post-H.S.,Education Attained,441,45.8,42.1,49.5,1915,%,Crude Prevalence,,,BRFSS,CLASS05,Topic51,55,EDUCA3,CAT5,SEX,RESP001,"(44.393191174, -89.816370742)"
2005,OR,Oregon,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Neither overweight nor obese (BMI le 24.9),35-44,Age Group,712,36.6,34.2,39.0,1926,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,41,AGE03,CAT3,_BMI4CAT,RESP045,"(44.567449424, -120.155031326)"
2007,IA,Iowa,Demographics,Age,What is your age?,45-54 years,"Less than $15,000",Household Income,70,13.3,9.8,16.8,1007,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,19,INCOME1,CAT6,AGE,RESP013,"(42.469400913, -93.816490556)"
2004,MS,Mississippi,Health Status,Overall Health,How is your general health?,Poor,55-64,Age Group,165,19.1,16.2,22.0,44,%,Crude Prevalence,,,BRFSS,CLASS08,Topic41,28,AGE05,CAT3,GENHLTH,RESP060,"(32.745510099, -89.538030825)"
2006,HI,Hawaii,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Less than H.S.,Education Attained,203,82.0,76.0,88.0,2089,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,15,EDUCA1,CAT5,_RFBLDST,RESP054,"(21.304850435, -157.857749403)"
2000,MT,Montana,Women's Health,Pap Test,Women aged 18+ who have had a pap smear within the past three years (variable calculated from one or more BRFSS questions),No,"$15,000-$24,999",Household Income,51,15.8,9.8,21.8,1633,%,Crude Prevalence,,,BRFSS,CLASS18,Topic42,30,INCOME2,CAT6,_RFPAP3Y,RESP054,"(47.066528972, -109.424420645)"
2009,SD,South Dakota,Physical Activity,Exercise,"During the past month, did you participate in any physical activities? (variable calculated from one or more BRFSS questions)",No,45-54,Age Group,368,25.6,22.7,28.6,265,%,Crude Prevalence,,,BRFSS,CLASS15,Topic23,46,AGE04,CAT3,_TOTINDA,RESP054,"(44.353130053, -100.373530637)"
2003,PR,Puerto Rico,Demographics,Race,What is your race/ethnicity?,Hispanic,College graduate,Education Attained,929,98.8,97.8,99.8,1040,%,Crude Prevalence,,,BRFSS,CLASS05,Topic48,72,EDUCA4,CAT5,RACE,RESP007,"(18.220833, -66.590149)"
2010,FL,Florida,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,35-44,Age Group,56,1.3,0.6,1.9,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,12,AGE03,CAT3,CVDCRHD4,RESP046,"(28.932040377, -81.928960539)"
2002,DE,Delaware,Overweight and Obesity (BMI),BMI Categories,Weight classification by Body Mass Index (BMI) (variable calculated from one or more BRFSS questions),Overweight (BMI 25.0-29.9),"White, non-Hispanic",Race/Ethnicity,1127,35.5,33.1,37.9,2001,%,Crude Prevalence,,,BRFSS,CLASS14,Topic09,10,RACE1,CAT4,_BMI2CAT,RESP040,"(39.008830667, -75.577741168)"
2005,PA,Pennsylvania,Demographics,Disability status,Adults with health problem(s) that requires the use of special equipment,Yes,Overall,Overall,1238,6.7,6.1,7.3,2033,%,Crude Prevalence,,,BRFSS,CLASS05,Topic19,42,BO1,CAT1,USEEQUIP,RESP046,"(40.793730152, -77.860700294)"
1995,MS,Mississippi,Demographics,Employment,What is your employment status?,Student,Some post-H.S.,Education Attained,30,11.1,6.8,15.4,1394,%,Crude Prevalence,,,BRFSS,CLASS05,Topic22,28,EDUCA3,CAT5,EMPLOY,RESP030,"(32.745510099, -89.538030825)"
1999,WA,Washington,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,Less than H.S.,Education Attained,101,39.3,32.4,46.2,315,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,53,EDUCA1,CAT5,BLOODCHO,RESP054,"(47.522278629, -120.47001079)"
2008,ME,Maine,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Fair or Poor Health,Less than H.S.,Education Attained,140,25.0,19.4,30.7,147,%,Crude Prevalence,,,BRFSS,CLASS08,Topic24,23,EDUCA1,CAT5,_RFHLTH,RESP062,"(45.254228894001, -68.985031336)"
2000,AL,Alabama,Demographics,Marital Status,What is your marital status?,Married,25-34,Age Group,229,69.5,64.2,74.8,807,%,Crude Prevalence,,,BRFSS,CLASS05,Topic38,1,AGE02,CAT3,MARITAL,RESP033,"(32.840571122, -86.631860762)"
2000,KY,Kentucky,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),One child,"Other, non-Hispanic",Race/Ethnicity,11,,,,977,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS05,Topic39,21,RACE4,CAT4,_CHLDCNT,RESP094,"(37.645970271, -84.774971048)"
2008,AZ,Arizona,Health Care Access/Coverage,Under 65 Coverage,Adults aged 18-64 who have any kind of health care coverage (variable calculated from one or more BRFSS questions),No,"$35,000-$49,999",Household Income,100,19.0,12.4,25.6,249,%,Crude Prevalence,,,BRFSS,CLASS07,Topic59,4,INCOME4,CAT6,_HCVU65,RESP054,"(34.86597028, -111.763811277)"
1995,AZ,Arizona,Demographics,Number of Children,How many children live in your household? (variable calculated from one or more BRFSS questions),Two children,45-54,Age Group,28,11.0,5.4,16.6,1142,%,Crude Prevalence,,,BRFSS,CLASS05,Topic39,4,AGE04,CAT3,_CHLDCNT,RESP093,"(34.86597028, -111.763811277)"
1997,GA,Georgia,Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,Yes,Less than H.S.,Education Attained,215,68.9,62.5,75.3,307,%,Crude Prevalence,,,BRFSS,CLASS02,Topic11,13,EDUCA1,CAT5,BLOODCHO,RESP046,"(32.839681093, -83.627580346)"
2003,SC,South Carolina,Demographics,Age,What is your age?,35-44 years,"$35,000-$49,999",Household Income,221,25.8,22.3,29.3,1248,%,Crude Prevalence,,,BRFSS,CLASS05,Topic02,45,INCOME4,CAT6,AGE,RESP012,"(33.998821303, -81.045371207)"
2005,TN,Tennessee,Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,18-24,Age Group,213,97.6,96.0,99.2,1001,%,Crude Prevalence,,,BRFSS,CLASS01,Topic30,47,AGE01,CAT3,_RFDRHV3,RESP054,"(35.68094058, -85.774490914)"
2010,VT,Vermont,Women's Health,Mammogram,Women aged 40+ who have had a mammogram within the past two years (variable calculated from one or more BRFSS questions),No,"Less than $15,000",Household Income,112,37.4,31.2,43.6,2152,%,Crude Prevalence,,,BRFSS,CLASS18,Topic37,50,INCOME1,CAT6,_RFMAM2Y,RESP054,"(43.625381239, -72.517640791)"
2006,SD,South Dakota,Demographics,Income,What is your annual household income?,"$25,000 - 34,999",Less than H.S.,Education Attained,61,12.8,8.5,17.1,1555,%,Crude Prevalence,,,BRFSS,CLASS05,Topic33,46,EDUCA1,CAT5,INCOME,RESP018,"(44.353130053, -100.373530637)"
2009,VI,Virgin Islands,Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Some post-H.S.,Education Attained,392,86.1,82.0,90.2,758,%,Crude Prevalence,,,BRFSS,CLASS03,Topic06,78,EDUCA3,CAT5,_LTASTHM,RESP054,"(18.335765, -64.896335)"
2006,ID,Idaho,Colorectal Cancer Screening,Blood Stool Test,Adults aged 50+ who have had a blood stool test within the past two years (variable calculated from one or more BRFSS questions),No,Overall,Overall,2114,79.5,77.7,81.3,2044,%,Crude Prevalence,,,BRFSS,CLASS04,Topic08,16,BO1,CAT1,_RFBLDST,RESP054,"(43.682630005, -114.363730042)"
2000,KS,Kansas,Chronic Health Indicators,Diabetes,Have you ever been told by a doctor that you have diabetes?,Yes,18-24,Age Group,4,1.0,0.0,2.0,293,%,Crude Prevalence,,,BRFSS,CLASS03,Topic18,20,AGE01,CAT3,DIABETES,RESP046,"(38.3477403, -98.200781227)"
2007,PR,Puerto Rico,Health Status,Fair or Poor Health,Health Status (variable calculated from one or more BRFSS questions),Good or Better Health,"Multiracial, non-Hispanic",Race/Ethnicity,1,,,,131,%,Crude Prevalence,*,"Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the CI half width was > 10 for any cell, or if the state did not collect data for that calendar year.",BRFSS,CLASS08,Topic24,72,RACE5,CAT4,_RFHLTH,RESP061,"(18.220833, -66.590149)"
